date,model,dataset,params,mean_objective,std_objective,mean_time,std_time,type,data_version,worst_case
17 May 2021,CatBoostClassifier,RFT,"{'verbose': 0, 'allow_writing_files': False, 'n_estimators': 1000}",-1.0993882096071352,0.0017039819617168427,162.02088220914206,11.498588204956134,Initial modelling,0,
17 May 2021,HistGradientBoostingClassifier,RFT,"{'categorical_features': None, 'early_stopping': 'auto', 'l2_regularization': 0.0, 'learning_rate': 0.1, 'loss': 'auto', 'max_bins': 255, 'max_depth': None, 'max_iter': 100, 'max_leaf_nodes': 31, 'min_samples_leaf': 20, 'monotonic_cst': None, 'n_iter_no_change': 10, 'random_state': None, 'scoring': 'loss', 'tol': 1e-07, 'validation_fraction': 0.1, 'verbose': 0, 'warm_start': False}",-1.1001617268294461,0.0005990601765795596,32.10029443105062,2.5997821658021105,Initial modelling,0,
17 May 2021,LGBMClassifier,RFT,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.1, 'max_depth': -1, 'min_child_samples': 20, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 250, 'n_jobs': -1, 'num_leaves': 31, 'objective': None, 'random_state': None, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'silent': True, 'subsample': 1.0, 'subsample_for_bin': 200000, 'subsample_freq': 0, 'verbose': -1, 'force_row_wise': True}",-1.1091580484776777,0.0008358442527537709,25.701830863952637,0.960338088614957,Initial modelling,0,
17 May 2021,RandomForestClassifier,RFT,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}",-1.1333735006436567,0.0016867316099046402,140.15601523717245,2.963615788634752,Initial modelling,0,
17 May 2021,CatBoostClassifier,RFI,"{'verbose': 0, 'allow_writing_files': False, 'n_estimators': 1000}",-1.120739341087538,0.0005372015621359212,34.71270831425985,2.5534008528101535,Initial modelling,0,
17 May 2021,HistGradientBoostingClassifier,RFI,"{'categorical_features': None, 'early_stopping': 'auto', 'l2_regularization': 0.0, 'learning_rate': 0.1, 'loss': 'auto', 'max_bins': 255, 'max_depth': None, 'max_iter': 100, 'max_leaf_nodes': 31, 'min_samples_leaf': 20, 'monotonic_cst': None, 'n_iter_no_change': 10, 'random_state': None, 'scoring': 'loss', 'tol': 1e-07, 'validation_fraction': 0.1, 'verbose': 0, 'warm_start': False}",-1.114187454070248,0.00026241885529134723,3.4500255584716797,0.48065949979601796,Initial modelling,0,
17 May 2021,LGBMClassifier,RFI,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.1, 'max_depth': -1, 'min_child_samples': 20, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 250, 'n_jobs': -1, 'num_leaves': 31, 'objective': None, 'random_state': None, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'silent': True, 'subsample': 1.0, 'subsample_for_bin': 200000, 'subsample_freq': 0, 'verbose': -1, 'force_row_wise': True}",-1.1281494468393716,0.0011086372999040226,5.803931951522827,0.13533818331380507,Initial modelling,0,
17 May 2021,RandomForestClassifier,RFI,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}",-6.957852184380184,0.04767515562811275,64.54608090718587,2.1345423761196822,Initial modelling,0,
,HistGradientBoostingClassifier,RFT,"{'early_stopping': True, 'l2_regularization': 8.710836914466997, 'learning_rate': 0.09508814406706878, 'max_bins': 164, 'max_iter': 123, 'max_leaf_nodes': 131}",-1.1106935338917214,0.0030270703941989354,86.67735282580058,2.743217725632878,Hyperparameter Opt,0,-1.1137206042859205
,HistGradientBoostingClassifier,RFT,"{'early_stopping': True, 'l2_regularization': 9.069752831891853, 'learning_rate': 0.36668999603896457, 'max_bins': 236, 'max_iter': 207, 'max_leaf_nodes': 48}",-1.123958911277687,0.001574332143284441,34.83839257558187,0.995340561033744,Hyperparameter Opt,0,-1.1255332434209715
,HistGradientBoostingClassifier,RFT,"{'early_stopping': True, 'l2_regularization': 8.710836914466997, 'learning_rate': 0.09508814406706878, 'max_bins': 164, 'max_iter': 123, 'max_leaf_nodes': 131}",-1.1226540673604752,0.009010530135090256,53.48475138346354,5.676933315109447,Hyperparameter Opt,0,-1.1316645974955655
,HistGradientBoostingClassifier,RFT,"{'early_stopping': True, 'l2_regularization': 9.069752831891853, 'learning_rate': 0.36668999603896457, 'max_bins': 236, 'max_iter': 207, 'max_leaf_nodes': 48}",-1.1514677863556029,0.013470085453604399,19.73933219909668,1.6530804812136835,Hyperparameter Opt,0,-1.1649378718092074
,HistGradientBoostingClassifier,RFT,"{'early_stopping': True, 'l2_regularization': 4.071204499584958, 'learning_rate': 0.4651267675102223, 'max_bins': 183, 'max_iter': 141, 'max_leaf_nodes': 66}",-1.213443750773918,0.008996678780656867,26.861286878585815,0.5071852011064402,Hyperparameter Opt,0,-1.2224404295545748
,HistGradientBoostingClassifier,RFT,"{'early_stopping': True, 'l2_regularization': 5.757486196190462, 'learning_rate': 0.43555871682913205, 'max_bins': 176, 'max_iter': 123, 'max_leaf_nodes': 93}",-1.2148169607790764,0.008652481793297542,26.082664648691814,3.821859721424049,Hyperparameter Opt,0,-1.223469442572374
,HistGradientBoostingClassifier,RFT,"{'early_stopping': True, 'l2_regularization': 9.889834974451608, 'learning_rate': 0.7667925941782959, 'max_bins': 177, 'max_iter': 200, 'max_leaf_nodes': 75}",-1.306337458077809,0.01486952645199557,25.089248577753704,0.7769036831719635,Hyperparameter Opt,0,-1.3212069845298047
